domainSize;nIterations;nThreads;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;avgColumnTemperature;totalTime;iterationTime;;
512;19531;14;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_14threads_out_par2,h5;par2;30,967758;3,88E+00;1,99E-04;;6,89
512;19531;15;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_15threads_out_par2,h5;par2;30,967758;3,02E+00;1,55E-04;;8,85
512;19531;16;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_16threads_out_par2,h5;par2;30,967758;2,93E+00;1,50E-04;;9,14
1024;9765;1;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_out_seq,h5;seq;23,933413;5,54E+01;5,67E-03;;1,00
1024;9765;2;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_2threads_out_par1,h5;par1;23,933413;2,75E+01;2,82E-03;;2,01
1024;9765;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_3threads_out_par1,h5;par1;23,933413;1,90E+01;1,95E-03;;2,92
1024;9765;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_4threads_out_par1,h5;par1;23,933413;1,48E+01;1,51E-03;;3,75
1024;9765;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_5threads_out_par1,h5;par1;23,933413;1,23E+01;1,26E-03;;4,52
1024;9765;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_6threads_out_par1,h5;par1;23,933413;1,04E+01;1,07E-03;;5,32
1024;9765;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_7threads_out_par1,h5;par1;23,933413;8,99E+00;9,21E-04;;6,16
1024;9765;8;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_8threads_out_par1,h5;par1;23,933413;8,46E+00;8,67E-04;;6,55
1024;9765;9;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_9threads_out_par1,h5;par1;23,933411;7,51E+00;7,69E-04;;7,38
1024;9765;10;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_10threads_out_par1,h5;par1;23,933413;7,41E+00;7,58E-04;;7,48
1024;9765;11;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_11threads_out_par1,h5;par1;23,933413;6,48E+00;6,63E-04;;8,55
1024;9765;12;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_12threads_out_par1,h5;par1;23,933411;6,42E+00;6,57E-04;;8,64
1024;9765;13;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_13threads_out_par1,h5;par1;23,933411;6,07E+00;6,21E-04;;9,14
1024;9765;14;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_14threads_out_par1,h5;par1;23,933413;5,98E+00;6,12E-04;;9,27
1024;9765;15;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_15threads_out_par1,h5;par1;23,933411;7,82E+00;8,01E-04;;7,09
1024;9765;16;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_16threads_out_par1,h5;par1;23,933413;5,33E+00;5,46E-04;;10,39
1024;9765;2;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_2threads_out_par2,h5;par2;23,933411;9,57E+00;9,80E-04;;5,79
1024;9765;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_3threads_out_par2,h5;par2;23,933411;6,12E+00;6,27E-04;;9,05
1024;9765;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_4threads_out_par2,h5;par2;23,933411;5,59E+00;5,73E-04;;9,91
1024;9765;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_5threads_out_par2,h5;par2;23,933411;7,73E+00;7,92E-04;;7,17
1024;9765;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_6threads_out_par2,h5;par2;23,933411;6,08E+00;6,22E-04;;9,12
1024;9765;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/1024x1024_7threads_out_par2,h5;par2;23,933411;6,68E+00;6,85E-04;;8,29
